,day,hour,label,points,points_per,center_x,center_y,cluster_count,region_surface,region_vertices
15,0,0,15,7,0.00014,40.61410565,-74.12583301666668,44.0,0.0037348939500414674,"[[ 40.6644    -74.1213   ]
 [ 40.6465873 -74.084937 ]
 [ 40.6187152 -74.0934751]
 [ 40.5453831 -74.1656988]
 [ 40.5883333 -74.1577778]]"
16,0,0,16,242,0.00484,40.766936715625,-73.808136875,44.0,0.0022370373358900236,"[[ 40.7575366 -73.7843045]
 [ 40.7429131 -73.825175 ]
 [ 40.7482    -73.8288   ]
 [ 40.7615    -73.8329   ]
 [ 40.7689    -73.8343   ]
 [ 40.7945457 -73.8184674]
 [ 40.796708  -73.779396 ]
 [ 40.7934184 -73.778797 ]
 [ 40.7684351 -73.7770774]]"
17,0,0,17,12,0.00024,40.816449999999996,-74.073955,44.0,0.003872049999999466,"[[ 40.7839 -74.0446]
 [ 40.7618 -74.0755]
 [ 40.8095 -74.1043]
 [ 40.872  -74.1099]
 [ 40.8445 -74.0664]
 [ 40.7846 -74.0447]]"
18,0,0,18,3251,0.06502,40.74228425440025,-74.00294214527362,44.0,0.0003567599999999595,"[[ 40.7294 -74.0112]
 [ 40.7466 -74.01  ]
 [ 40.7546 -74.0069]
 [ 40.7598 -74.0029]
 [ 40.7419 -73.9894]
 [ 40.7413 -73.9892]
 [ 40.7407 -73.9893]
 [ 40.7298 -74.01  ]]"
19,0,0,19,628,0.01256,40.648368708064154,-73.95898837492513,44.0,0.001094541354899849,"[[ 40.6311    -73.9474   ]
 [ 40.6287    -73.96     ]
 [ 40.6333    -73.9764   ]
 [ 40.653487  -73.977196 ]
 [ 40.6617743 -73.971089 ]
 [ 40.6634    -73.9587   ]
 [ 40.661     -73.9483   ]
 [ 40.6554    -73.9385   ]
 [ 40.6415    -73.9391   ]]"
20,0,0,20,280,0.0056,40.62503253235294,-73.9254630117647,44.0,0.0013705001350003594,"[[ 40.6009    -73.9375   ]
 [ 40.6068987 -73.9477991]
 [ 40.625     -73.9467   ]
 [ 40.6385    -73.9338   ]
 [ 40.6449    -73.9213   ]
 [ 40.6501    -73.8975   ]
 [ 40.6357    -73.8972   ]
 [ 40.631     -73.8994   ]]"
21,0,0,21,3202,0.06404,40.71465679335396,-73.95178670163547,44.0,0.0006721833400001108,"[[ 40.728     -73.942    ]
 [ 40.7210549 -73.9304689]
 [ 40.711     -73.9337   ]
 [ 40.7057    -73.9371   ]
 [ 40.7052    -73.9447   ]
 [ 40.7046    -73.9661   ]
 [ 40.7087085 -73.9702219]
 [ 40.7165    -73.9659   ]
 [ 40.7192    -73.9643   ]
 [ 40.7239    -73.9601   ]]"
22,0,0,22,422,0.00844,40.865417212451376,-73.92009525613197,44.0,0.005817186859999905,"[[ 40.938     -73.9901   ]
 [ 40.9108    -73.8839   ]
 [ 40.854     -73.9004   ]
 [ 40.8398756 -73.9073276]
 [ 40.8365    -73.9142   ]
 [ 40.8502    -73.9398   ]
 [ 40.8931    -73.9734   ]]"
23,0,0,23,1135,0.0227,40.75743081783504,-73.91936905803271,44.0,0.0016623541250003371,"[[ 40.723158  -73.912637 ]
 [ 40.7356    -73.9366   ]
 [ 40.7558    -73.9358   ]
 [ 40.769     -73.9332   ]
 [ 40.7720145 -73.9302673]
 [ 40.782     -73.9131   ]
 [ 40.7781    -73.9049   ]
 [ 40.7759    -73.9024   ]
 [ 40.7717    -73.8981   ]
 [ 40.7434    -73.9018   ]
 [ 40.7291    -73.9049   ]]"
24,0,0,24,56,0.00112,40.73353085271317,-74.03794937984496,44.0,0.0011951599999999976,"[[ 40.7094 -74.0601]
 [ 40.7364 -74.0629]
 [ 40.7595 -74.028 ]
 [ 40.7546 -74.0258]
 [ 40.7531 -74.0254]
 [ 40.7163 -74.0324]
 [ 40.7142 -74.0346]
 [ 40.7119 -74.0401]]"
25,0,0,25,2,4e-05,40.504850000000005,-74.4718,44.0,,
26,0,0,26,3,6e-05,40.7372,-73.27486666666667,44.0,0.003862135000000218,"[[ 40.6872 -73.3195]
 [ 40.8065 -73.2645]
 [ 40.7179 -73.2406]]"
27,0,0,27,379,0.00758,40.63219851838006,-74.01514217077315,44.0,0.0013820760106951927,"[[ 40.652203  -73.9910769]
 [ 40.6456    -73.9835   ]
 [ 40.633993  -73.9968059]
 [ 40.6162    -74.0243   ]
 [ 40.5903825 -74.0668076]
 [ 40.6045639 -74.0652649]
 [ 40.6484    -74.0083   ]]"
28,0,0,28,4,8e-05,40.79805,-73.466675,44.0,0.0018555250000002734,"[[ 40.733  -73.4458]
 [ 40.8235 -73.5   ]
 [ 40.818  -73.4557]]"
29,0,0,29,83,0.00166,40.74969445333333,-73.73163162,44.0,0.0027124618488201585,"[[ 40.753991  -73.765966 ]
 [ 40.7983    -73.7477   ]
 [ 40.7873    -73.728    ]
 [ 40.7386    -73.698    ]
 [ 40.7327778 -73.7177778]
 [ 40.7267692 -73.7415208]
 [ 40.7417906 -73.7553618]]"
30,0,0,30,1084,0.02168,40.68438279450918,-73.96010461412007,44.0,0.0006897977350001528,"[[ 40.6647    -73.9518   ]
 [ 40.6727    -73.9658   ]
 [ 40.689     -73.9778   ]
 [ 40.6907711 -73.9766245]
 [ 40.6969    -73.9706   ]
 [ 40.7006    -73.9603   ]
 [ 40.695     -73.9529   ]
 [ 40.676     -73.9444   ]
 [ 40.6715    -73.947    ]
 [ 40.6652    -73.9509   ]]"
31,0,0,31,5,0.0001,40.924260000000004,-74.14439999999999,44.0,0.0034717849999991177,"[[ 40.9232 -74.1102]
 [ 40.868  -74.1832]
 [ 40.9467 -74.1686]
 [ 40.9673 -74.1345]]"
32,0,0,32,7,0.00014,41.014266666666664,-73.72383333333333,44.0,0.006606499999998667,"[[ 41.0025 -73.6618]
 [ 40.9543 -73.7354]
 [ 41.0153 -73.7685]
 [ 41.0518 -73.7704]
 [ 41.0448 -73.6889]]"
33,0,0,33,6,0.00012,40.699619999999996,-74.29446,44.0,0.0006844450000005559,"[[ 40.6718 -74.322 ]
 [ 40.7241 -74.2915]
 [ 40.704  -74.2781]
 [ 40.7026 -74.2783]]"
34,0,0,34,1487,0.02974,40.78798114716666,-73.97607454545266,44.0,0.002127276464999756,"[[ 40.7989    -74.0061   ]
 [ 40.8528    -74.0214   ]
 [ 40.806     -73.9654   ]
 [ 40.8018    -73.9612   ]
 [ 40.7992    -73.9594   ]
 [ 40.7827725 -73.9653627]
 [ 40.7701    -73.9804   ]
 [ 40.7724    -73.986    ]
 [ 40.7907    -74.       ]]"
35,0,0,35,454,0.00908,40.730204782541065,-73.86273421812272,44.0,0.0015752234000000814,"[[ 40.7245    -73.8913   ]
 [ 40.7343    -73.8926   ]
 [ 40.7345    -73.8925   ]
 [ 40.7387    -73.8861   ]
 [ 40.7599    -73.8492   ]
 [ 40.7545    -73.846    ]
 [ 40.7405485 -73.842789 ]
 [ 40.7267    -73.84     ]
 [ 40.7199    -73.8423   ]
 [ 40.7144    -73.8456   ]
 [ 40.7134    -73.8567   ]
 [ 40.7183    -73.8805   ]]"
